date,stringency_index
1,0.
2,0.
3,0.
4,0.
5,0.
6,0.
7,0.
8,0.
9,0.
10,0.
11,0.
12,0.
13,0.
14,0.
15,0.
16,0.
17,0.
18,0.
19,0.
20,0.
21,0.
22,0.
23,2.78
24,2.78
25,2.78
26,2.78
27,2.78
28,2.78
29,2.78
30,8.33
31,19.44
32,19.44
33,19.44
34,19.44
35,19.44
36,19.44
37,19.44
38,19.44
39,19.44
40,19.44
41,19.44
42,19.44
43,19.44
44,19.44
45,19.44
46,19.44
47,19.44
48,19.44
49,19.44
50,19.44
51,19.44
52,27.78
53,37.4
54,69.91
55,69.91
56,69.91
57,69.91
58,69.91
59,69.91
60,69.91
61,69.91
62,69.91
63,69.91
64,74.54
65,74.54
66,74.54
67,74.54
68,74.54
69,74.54
70,82.41
71,85.19
72,85.19
73,85.19
74,85.19
75,85.19
76,85.19
77,85.19
78,85.19
79,85.19
80,91.67
81,91.67
82,91.67
83,91.67
84,91.67
85,91.67
86,91.67
87,91.67
88,91.67
89,91.67
90,91.67
91,91.67
92,91.67
93,91.67
94,91.67
95,91.67
96,91.67
97,91.67
98,91.67
99,91.67
100,91.67
101,87.96
102,87.96
103,93.52
104,93.52
105,93.52
106,93.52
107,93.52
108,93.52
109,93.52
110,93.52
111,93.52
112,93.52
113,93.52
114,93.52
115,93.52
116,93.52
117,93.52
118,93.52
119,93.52
120,93.52
121,93.52
122,93.52
123,93.52
124,93.52
125,62.96
126,62.96
127,62.96
128,62.96
129,62.96
130,62.96
131,62.96
132,62.96
133,62.96
134,62.96
135,62.96
136,62.96
137,66.67
138,66.67
139,63.89
140,63.89
141,63.89
142,63.89
143,63.89
144,63.89
145,63.89
146,63.89
147,63.89
148,63.89
149,63.89
150,63.89
151,63.89
152,63.89
153,63.89
154,52.78
155,44.44
156,44.44
157,44.44
158,44.44
159,44.44
160,44.44
161,44.44
162,44.44
163,5.
164,5.
165,5.
166,5.
167,55.56
168,55.56
169,55.56
170,55.56
171,55.56
172,55.56
173,55.56
174,55.56
175,55.56
176,55.56
177,55.56
178,55.56
179,55.56
180,55.56
181,55.56
182,55.56
183,55.56
184,55.56
185,55.56
186,55.56
187,55.56
188,55.56
189,55.56
190,55.56
191,58.33
192,58.33
193,58.33
194,58.33
195,58.33
196,58.33
197,58.33
198,58.33
199,58.33
200,58.33
201,58.33
202,58.33
203,58.33
204,58.33
205,58.33
206,58.33
207,58.33
208,58.33
209,48.15
210,48.15
211,48.15
212,48.15
213,48.15
214,48.15
215,48.15
216,48.15
217,48.15
218,48.15
219,48.15
220,48.15
221,50.93
222,50.93
223,50.93
224,50.93
225,50.93
226,50.93
227,50.93
228,50.93
229,50.93
230,54.63
231,54.63
232,54.63
233,54.63
234,54.63
235,54.63
236,54.63
237,54.63
238,54.63
239,54.63
240,54.63
241,54.63
242,54.63
243,54.63
244,54.63
245,54.63
246,54.63
247,54.63
248,54.63
249,54.63
250,54.63
251,54.63
252,54.63
253,54.63
254,54.63
255,54.63
256,54.63
257,54.63
258,47.22
259,47.22
260,47.22
261,47.22
262,47.22
263,47.22
264,47.22
265,47.22
266,47.22
267,47.22
268,47.22
269,47.22
270,47.22
271,47.22
272,47.22
273,47.22
274,47.22
275,47.22
276,47.22
277,47.22
278,47.22
279,47.22
280,55.56
281,55.56
282,55.56
283,55.56
284,55.56
285,55.56
286,55.56
287,55.56
288,5.
289,5.
290,5.
291,5.
292,5.
293,5.
294,5.
295,5.
296,5.
297,66.67
298,66.67
299,66.67
300,66.67
301,66.67
302,66.67
303,66.67
304,66.67
305,66.67
306,66.67
307,66.67
308,66.67
309,66.67
310,66.67
311,66.67
312,66.67
313,66.67
314,66.67
